adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_head_final-eng,phrase_head_final-fre,phrase_head_final-ger,phrase_head_final-ita
sharp,aigu,spitzer,acuto,scherpe,острый,nhọn,銳,angle,angle,Winkel,angolo,hoek,угол,góc,角,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了,sharp angle,angle aigu,spitzer Winkel,angolo acuto,scherpe hoek,острый угол,góc nhọn,銳角,good angle,bon angle,guter Winkel,buon angolo
scary,effrayante,gruselige,spaventosa,enge,страшный,đáng sợ,可怕的,ant,fourmi,Ameise,formica,mier,муравей,kiến,螞蟻,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,scary ant,fourmi effrayante,gruselige Ameise,formica spaventosa,enge mier,страшный муравей,kiến đáng sợ,可怕的螞蟻,small ant,petite fourmi,kleine Ameise,piccola formica
red,rouge,roter,rossa,rode,красное,đỏ,紅,apple,pomme,Apfel,mela,appel,яблоко,táo,蘋果,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了,red apple,pomme rouge,roter Apfel,mela rossa,rode appel,красное яблоко,táo đỏ,紅蘋果,beautiful apple,belle pomme,schöner Apfel,bella mela
curved,incurvé,geschwungener,curvo,gebogen,изогнутая,cong,彎曲,arch,arc,Bogen,arco,boog,арка,cầu vồng,拱門,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了,curved arch,arc incurvé,geschwungener Bogen,arco curvo,gebogen boog,изогнутая арка,cầu vồng cong,彎曲拱門,beautiful arch,bel arc,schöner Bogen,bel arco
strong,fort,starker,forte,sterke,сильная,mạnh mẽ,強硬,arm,bras,Arm,braccio,arm,рука,cánh tay,手段,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,strong arm,bras fort,starker Arm,braccio forte,sterke arm,сильная рука,cánh tay mạnh mẽ,強硬手段,fat arm,gros bras,dicker Arm,braccio grasso
strong,forte,starke,forte,sterk,сильная,hùng mạnh,強大,army,armée,Armee,esercito,leger,армия,quân đội,軍隊,I saw the,J'ai vu l',Ich sah die,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,strong army,armée forte,starke Armee,esercito forte,sterk leger,сильная армия,quân đội hùng mạnh,強大的軍隊,big army,grande armée,große Armee,grande esercito
cute,mignon,süßes,carino,schattige,милый,đáng yêu,可愛的,baby,bébé,Baby,bambino,baby,ребенок,em bé,寶寶,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,cute baby,bébé mignon,süßes Baby,bambino carino,schattige baby,милый ребенок,em bé đáng yêu,可愛的寶寶,small baby,petit bébé,kleines Baby,piccolo bambino
heavy,lourd,schwere,pesante,zware,тяжелая,nặng,重型,bag,sac,Tasche,borsa,tas,сумка,túi,沙袋,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,heavy bag,sac lourd,schwere Tasche,borsa pesante,zware tas,тяжелая сумка,túi nặng,重型沙袋,,,nan Tasche,
round,ronde,runde,rotonda,ronde,круглый,tròn,圓,ball,balle,Kugel,palla,bal,мяч,bóng,球,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了,round ball,balle ronde,runde Kugel,palla rotonda,ronde bal,круглый мяч,bóng tròn,圓球,,,nan Kugel,
tight,serrée,enges,stretta,strakke,плотная,chặt,緊繃的,band,bande,Band,fascia,band,лента,dải băng,束帶,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,tight band,bande serrée,enges Band,fascia stretta,strakke band,плотная лента,dải băng chặt,緊繃的束帶,beautiful band,belle bande,schönes Band,bella banda
empty,vide,leeres,vuota,lege,пустая,rỗng,空,basin,bassin,Becken,vasca,bak,миска,chậu,盆,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,empty basin,bassin vide,leeres Becken,vasca vuota,lege bak,пустая миска,chậu rỗng,空盆,,,,
woven,tressé,geflochtener,intrecciato,gevlochten,плетеная,đan,编织,basket,panier,Korb,cesto,mand,корзина,giỏ,篮,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,woven basket,panier tressé,geflochtener Korb,cesto intrecciato,gevlochten mand,плетеная корзина,giỏ đan,编织篮,,,,
hot,chaud,heißes,caldo,warm,горячая,nước nóng,热水,bath,bain,Bad,bagno,bad,ванна,bồn tắm,澡,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,hot bath,bain chaud,heißes Bad,bagno caldo,warm bad,горячая ванна,bồn tắm nước nóng,热水澡,,,,
comfortable,confortable,bequemes,comodo,comfortabel,удобная,êm ái,舒适,bed,lit,Bett,letto,bed,кровать,giường,床,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,comfortable bed,lit confortable,bequemes Bett,letto comodo,comfortabel bed,удобная кровать,giường êm ái,舒适床,,,,
yellow,jaune,gelbe,gialla,gele,желтая,vàng,黄,bee,abeille,Biene,ape,bij,пчела,ong,蜂,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy con,我看見了,yellow bee,abeille jaune,gelbe Biene,ape gialla,gele bij,желтая пчела,ong vàng,黄蜂,,,,
loud,bruyante,laute,rumorosa,luide,громкий,to,响亮,bell,cloche,Glocke,campana,bel,колокол,chuông,铃,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,loud bell,cloche bruyante,laute Glocke,campana rumorosa,luide bel,громкий колокол,chuông to,响亮铃,big bell,belle cloche,große Glocke,grande campana
sweet,sucrée,süße,dolce,zoete,сладкая,ngọt,甜,berry,baie,Beere,bacca,bes,ягода,mọng,浆果,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了,sweet berry,baie sucrée,süße Beere,bacca dolce,zoete bes,сладкая ягода,mọng ngọt,甜浆果,small berry,petite baie,kleine Beere,piccola bacca
strange,étrange,seltsamer,strano,vreemde,странная,lạ,奇,bird,oiseau,Vogel,uccello,vogel,птица,chim,鸟,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy con,我看見了,strange bird,oiseau étrange,seltsamer Vogel,uccello strano,vreemde vogel,странная птица,chim lạ,奇鸟,,,nan Vogel,
sharp,tranchante,scharfe,affilata,scherp,острый,sắc,鋒利的,blade,lame,Klinge,lama,mes,нож,lưỡi dao,刀刃,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,sharp blade,lame tranchante,scharfe Klinge,lama affilata,scherp mes,острый нож,lưỡi dao sắc,鋒利的刀刃,pretty blade,jolie lame,schöne Klinge,bella lama
flat,plate,flaches,piatta,vlakke,плоская,phẳng,平,board,planche,Brett,tavola,plank,доска,bảng,板,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,flat board,planche plate,flaches Brett,tavola piatta,vlakke plank,плоская доска,bảng phẳng,平板,new board,nouvelle planche,neues Brett,nuova tavola
wooden,en bois,holzes,di,houten,деревянная,gỗ,木,boat,bateau,Boot,barca,boot,лодка,thuyền,船,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,wooden boat,bateau en bois,hölzernes Boot,barca di legno,houten boot,деревянная лодка,thuyền gỗ,木船,,,nan Boot,
hard,dur,harter,duro,hard,твердая,cứng,硬,bone,os,Knochen,osso,bot,кость,xương,骨头,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,hard bone,os dur,harter Knochen,osso duro,hard bot,твердая кость,xương cứng,硬骨头,,,nan Knochen,
interesting,intéressant,interessantes,interessante,interessant,интересная,thú vị,有趣,book,livre,Buch,libro,boek,книга,sách,书,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cuốn,我看見了,interesting book,livre intéressant,interessantes Buch,libro interessante,interessant boek,интересная книга,sách thú vị,有趣书,,,nan Buch,
muddy,boueuse,schlammiger,infangato,modderige,грязные,bùn,泥,boot,botte,Stiefel,stivale,laars,сапоги,giày,靴,I saw the,J'ai vu la,Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,muddy boot,botte boueuse,schlammiger Stiefel,stivale infangato,modderige laars,грязные сапоги,giày bùn,泥靴,,,nan Stiefel,
full,pleine,volle,piena,volle,полная,đầy,满,bottle,bouteille,Flasche,bottiglia,fles,бутылка,chai,瓶,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,full bottle,bouteille pleine,volle Flasche,bottiglia piena,volle fles,полная бутылка,chai đầy,满瓶,beautiful bottle,belle bouteille,schöne Flasche,bella bottiglia
white,blanche,weiße,bianca,witte,белая,trắng,白,box,boîte,Schachtel,scatola,doos,коробка,hộp,盒,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,white box,boîte blanche,weiße Schachtel,scatola bianca,witte doos,белая коробка,hộp trắng,白盒,,,,
stupid,garçon,dummer,giovane,jonge,маленький,ngốc nghếch,笨,boy,jeune,Junge,ragazzo,jongen,мальчик,đứa trẻ,男孩,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,stupid boy,garçon stupide,dummer Junge,ragazzo giovane,domme jongen,глупый мальчик,đứa trẻ ngốc nghếch,笨男孩,,,,
smart,intelligent,kluges,intelligente,slimme,умный,thông minh,聪明,brain,cerveau,Gehirn,cervello,hersenen,мозг,bộ não,脑,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,smart brain,cerveau intelligent,kluges Gehirn,cervello intelligente,slimme hersenen,умный мозг,bộ não thông minh,聪明脑,,,,
thin,fine,dünner,sottile,dunne,тонкая,mảnh,细,branch,branche,Ast,ramo,tak,ветка,cành cây,枝,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,thin branch,branche fine,dünner Ast,ramo sottile,dunne tak,тонкая ветка,cành cây mảnh,细枝,small branch,petite branche,kleiner Ast,piccolo ramo
red,rouge,roter,rosso,rode,красный,đỏ,红,brick,brique,Ziegelstein,mattone,baksteen,кирпич,gạch,砖,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy viên,我看見了,red brick,brique rouge,roter Ziegelstein,mattone rosso,rode baksteen,красный кирпич,gạch đỏ,红砖,big brick,grande brique,großer Ziegelstein,grande mattone
narrow,étroit,schmale,stretto,smalle,узкий,hẹp,窄,bridge,pont,Brücke,ponte,brug,мост,cầu,桥,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cây,我看見了,narrow bridge,pont étroit,schmale Brücke,ponte stretto,smalle brug,узкий мост,cầu hẹp,窄桥,,,,
stiff,rigide,steife,rigida,stijve,жесткая,cứng,硬,brush,brosse,Bürste,spazzola,borstel,щетка,cây cọ,刷,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,stiff brush,brosse rigide,steife Bürste,spazzola rigida,stijve borstel,жесткая щетка,cây cọ cứng,硬刷,,,,
metal,en métal,metallener,di,metalen,металлическое,kim loại,金属,bucket,seau,Eimer,secchio,emmer,ведро,thùng,桶,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,metal bucket,seau en métal,metallener Eimer,secchio di metallo,metalen emmer,металлическое ведро,thùng kim loại,金属桶,,,,
bright,lumineuse,helle,luminosa,heldere,яркая,sáng,亮,bulb,ampoule,Glühbirne,lampadina,lamp,лампочка,bóng đèn,灯泡,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,bright bulb,ampoule lumineuse,helle Glühbirne,lampadina luminosa,heldere lamp,яркая лампочка,bóng đèn sáng,亮灯泡,,,,
red,rouge,roter,rosso,rode,красная,đỏ,红,button,bouton,Knopf,pulsante,knop,кнопка,nút,按钮,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,red button,bouton rouge,roter Knopf,pulsante rosso,rode knop,красная кнопка,nút đỏ,红按钮,,,,
sweet,sucré,süßer,dolce,zoete,сладкий,ngọt,甜,cake,gâteau,Kuchen,torta,cake,торт,bánh,蛋糕,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,sweet cake,gâteau sucré,süßer Kuchen,torta dolce,zoete cake,сладкий торт,bánh ngọt,甜蛋糕,,,,
