phrase-eng,phrase_cutoff_after_subject-eng,phrase-ger,phrase_cutoff_after_subject-ger,phrase-fre,phrase_cutoff_after_subject-fre,phrase-pol,phrase_cutoff_after_subject-pol,verb-eng,verb-ger,verb-fre,verb-pol,obj-eng,obj-ger,obj-fre,obj-pol
I know that John loves Mary,I know that John,"Ich weiß, dass John Mary liebt","Ich weiß, dass John",Je sais que John aime Mary,Je sais que John,"Wiem, że John kocha Mary","Wiem, że John",loves,liebt,aime,kocha,Mary,Mary,Mary,Mary
I know that David knows Francis,I know that David,"Ich weiß, dass David Francis kennt","Ich weiß, dass David",Je sais que David connaît Francis,Je sais que David,"Wiem, że David zna Francisa","Wiem, że David",knows,kennt,connaît,zna,Francis,Francis,Francis,Francisa
I know that Anna sees Rachel,I know that Anna,"Ich weiß, dass Anna Rachel sieht","Ich weiß, dass Anna",Je sais qu'Anna voit Rachel,Je sais qu'Anna,"Wiem, że Anna widuje Rachel","Wiem, że Anna",sees,sieht,voit,widuje,Rachel,Rachel,Rachel,Rachel
I know that Paul helps Susan,I know that Paul,"Ich weiß, dass Paul Susan hilft","Ich weiß, dass Paul",Je sais que Paul aide Susan,Je sais que Paul,"Wiem, że Paul pomaga Susan","Wiem, że Paul",helps,hilft,aide,pomaga,Susan,Susan,Susan,Susan
I know that Michael greets Linda,I know that Michael,"Ich weiß, dass Michael Linda begrüßt","Ich weiß, dass Michael",Je sais que Michael salue Linda,Je sais que Michael,"Wiem, że Michael wita Lindę","Wiem, że Michael",greets,begrüßt,salue,wita,Linda,Linda,Linda,Lindę
I know that Sarah hears Thomas,I know that Sarah,"Ich weiß, dass Sarah Thomas hört","Ich weiß, dass Sarah",Je sais que Sarah entend Thomas,Je sais que Sarah,"Wiem, że Sarah słyszy Thomasa","Wiem, że Sarah",hears,hört,entend,słyszy,Thomas,Thomas,Thomas,Thomasa
I know that Peter likes Julia,I know that Peter,"Ich weiß, dass Peter Julia mag","Ich weiß, dass Peter",Je sais que Peter aime Julia,Je sais que Peter,"Wiem, że Peter lubi Julię","Wiem, że Peter",likes,mag,aime,lubi,Julia,Julia,Julia,Julię
I know that Laura calls Kevin,I know that Laura,"Ich weiß, dass Laura Kevin ruft","Ich weiß, dass Laura",Je sais que Laura appelle Kevin,Je sais que Laura,"Wiem, że Laura dzwoni do Kevina","Wiem, że Laura",calls,ruft,appelle,dzwoni,Kevin,Kevin,Kevin,Kevina
I know that Daniel finds Emma,I know that Daniel,"Ich weiß, dass Daniel Emma findet","Ich weiß, dass Daniel",Je sais que Daniel trouve Emma,Je sais que Daniel,"Wiem, że Daniel znajduje Emmę","Wiem, że Daniel",finds,findet,trouve,znajduje,Emma,Emma,Emma,Emmę
I know that Sophie visits Mark,I know that Sophie,"Ich weiß, dass Sophie Mark besucht","Ich weiß, dass Sophie",Je sais que Sophie visite Mark,Je sais que Sophie,"Wiem, że Sophie odwiedza Marka","Wiem, że Sophie",visits,besucht,visite,odwiedza,Mark,Mark,Mark,Marka
I know that Lucas meets Nina,I know that Lucas,"Ich weiß, dass Lucas Nina trifft","Ich weiß, dass Lucas",Je sais que Lucas rencontre Nina,Je sais que Lucas,"Wiem, że Lucas spotyka Ninę","Wiem, że Lucas",meets,trifft,rencontre,spotyka,Nina,Nina,Nina,Ninę
I know that Anna thanks Paul,I know that Anna,"Ich weiß, dass Anna Paul dankt","Ich weiß, dass Anna",Je sais qu'Anna remercie Paul,Je sais qu'Anna,"Wiem, że Anna dziękuje Paulowi","Wiem, że Anna",thanks,dankt,remercie,dziękuje,Paul,Paul,Paul,Paulowi
I know that Robert follows Clara,I know that Robert,"Ich weiß, dass Robert Clara folgt","Ich weiß, dass Robert",Je sais que Robert suit Clara,Je sais que Robert,"Wiem, że Robert podąża za Clarą","Wiem, że Robert",follows,folgt,suit,podąża,Clara,Clara,Clara,Clarą
I know that Emily admires Victor,I know that Emily,"Ich weiß, dass Emily Victor bewundert","Ich weiß, dass Emily",Je sais qu'Emily admire Victor,Je sais qu'Emily,"Wiem, że Emily podziwia Victora","Wiem, że Emily",admires,bewundert,admire,podziwia,Victor,Victor,Victor,Victora
I know that Thomas chooses Alice,I know that Thomas,"Ich weiß, dass Thomas Alice wählt","Ich weiß, dass Thomas",Je sais que Thomas choisit Alice,Je sais que Thomas,"Wiem, że Thomas wybiera Alice","Wiem, że Thomas",chooses,wählt,choisit,wybiera,Alice,Alice,Alice,Alice
