src_lang_base,src_lang_plant,tgt_lang_base,tgt_lang_plant
eng,eng,fre,ger
eng,eng,fre,ned
eng,eng,fre,rus
eng,eng,fre,zho
eng,eng,ita,ger
eng,eng,ita,ned
eng,eng,ita,rus
eng,eng,ita,zho
eng,eng,vie,ger
eng,eng,vie,ned
eng,eng,vie,rus
eng,eng,vie,zho
ger,ger,fre,eng
ger,ger,fre,ned
ger,ger,fre,rus
ger,ger,fre,zho
ger,ger,ita,eng
ger,ger,ita,ned
ger,ger,ita,rus
ger,ger,ita,zho
ger,ger,vie,eng
ger,ger,vie,ned
ger,ger,vie,rus
ger,ger,vie,zho
ned,ned,fre,eng
ned,ned,fre,ger
ned,ned,fre,rus
ned,ned,fre,zho
ned,ned,ita,eng
ned,ned,ita,ger
ned,ned,ita,rus
ned,ned,ita,zho
ned,ned,vie,eng
ned,ned,vie,ger
ned,ned,vie,rus
ned,ned,vie,zho
rus,rus,fre,eng
rus,rus,fre,ger
rus,rus,fre,ned
rus,rus,fre,zho
rus,rus,ita,eng
rus,rus,ita,ger
rus,rus,ita,ned
rus,rus,ita,zho
rus,rus,vie,eng
rus,rus,vie,ger
rus,rus,vie,ned
rus,rus,vie,zho
zho,zho,fre,eng
zho,zho,fre,ger
zho,zho,fre,ned
zho,zho,fre,rus
zho,zho,ita,eng
zho,zho,ita,ger
zho,zho,ita,ned
zho,zho,ita,rus
zho,zho,vie,eng
zho,zho,vie,ger
zho,zho,vie,ned
zho,zho,vie,rus
fre,fre,ita,eng
fre,fre,ita,ger
fre,fre,ita,ned
fre,fre,ita,rus
fre,fre,ita,zho
fre,fre,vie,eng
fre,fre,vie,ger
fre,fre,vie,ned
fre,fre,vie,rus
fre,fre,vie,zho
ita,ita,fre,eng
ita,ita,fre,ger
ita,ita,fre,ned
ita,ita,fre,rus
ita,ita,fre,zho
ita,ita,vie,eng
ita,ita,vie,ger
ita,ita,vie,ned
ita,ita,vie,rus
ita,ita,vie,zho
vie,vie,fre,eng
vie,vie,fre,ger
vie,vie,fre,ned
vie,vie,fre,rus
vie,vie,fre,zho
vie,vie,ita,eng
vie,vie,ita,ger
vie,vie,ita,ned
vie,vie,ita,rus
vie,vie,ita,zho
