src_lang_base,src_lang_plant,tgt_lang_base,tgt_lang_plant
eng,eng,rus,jap
eng,eng,jap,rus
eng,eng,zho,jap
eng,eng,jap,zho
eng,eng,rus,tur
eng,eng,tur,rus
eng,eng,zho,tur
eng,eng,tur,zho
jap,jap,eng,tur
jap,jap,tur,eng
jap,jap,rus,tur
jap,jap,tur,rus
jap,jap,zho,tur
jap,jap,tur,zho
rus,rus,eng,jap
rus,rus,jap,eng
rus,rus,zho,jap
rus,rus,jap,zho
rus,rus,eng,tur
rus,rus,tur,eng
rus,rus,zho,tur
rus,rus,tur,zho
tur,tur,eng,jap
tur,tur,jap,eng
tur,tur,rus,jap
tur,tur,jap,rus
tur,tur,zho,jap
tur,tur,jap,zho
zho,zho,eng,jap
zho,zho,jap,eng
zho,zho,rus,jap
zho,zho,jap,rus
zho,zho,eng,tur
zho,zho,tur,eng
zho,zho,rus,tur
zho,zho,tur,rus
